County,Infections_Reported,Procedure_Count
Yuba,84,12838
Yolo,65,11628
Ventura,379,80492
Tuolumne,36,7022
Tulare,106,27174
Tehama,26,5182
Sutter,2,1864
Stanislaus,378,81504
Sonoma,181,43752
Solano,304,34784
Siskiyou,16,4070
Shasta,176,34438
Santa Cruz,78,19301
Santa Clara,1514,209142
Santa Barbara,303,60775
San Mateo,189,52352
San Luis Obispo,93,24713
San Joaquin,282,53956
San Francisco,756,134145
San Diego,2595,391927
San Bernardino,900,193906
San Benito,4,1670
Sacramento,1412,198774
Riverside,864,200483
Plumas,0,232
Placer,345,66337
Orange,1995,366956
Nevada,40,6988
Napa,64,14451
Monterey,143,42501
Mono,2,1944
Modoc,0,2
Merced,32,16870
Mendocino,37,8170
Marin,90,14038
Madera,8,3490
Los Angeles,4663,1017189
Lassen,2,932
Lake,10,2338
Kings,58,10658
Kern,360,80272
Inyo,2,1018
Imperial,68,10531
Humboldt,77,13587
Fresno,731,107462
El Dorado,52,10367
Del Norte,4,2346
Contra Costa,638,96068
Calaveras,0,462
Butte,119,29442
Amador,8,2342
Alameda,838,124436
